rank,x0_utm,y0_utm,zmean_ft,ponding_ft,basins,mean_pci,s_pond,s_basin_deficit,s_pci,priority
1585,328534.2,4696075.4,2.4,1.825,0,,0.456,1.0,0.5,62.8
1586,328084.2,4693975.4,13.4,3.019,1,,0.755,0.5,0.5,62.7
1587,326984.2,4694075.4,9.9,1.813,0,,0.453,1.0,0.5,62.7
1588,328334.2,4694875.4,21.7,1.813,0,,0.453,1.0,0.5,62.7
1589,325484.2,4695675.4,25.9,1.666,0,40.4,0.416,1.0,0.596,62.7
1590,328134.2,4695925.4,24.5,3.018,1,,0.755,0.5,0.5,62.7
1591,325534.2,4696025.4,28.7,3.414,2,,0.854,0.333,0.5,62.7
1592,327034.2,4693825.4,9.0,1.805,0,,0.451,1.0,0.5,62.6
1593,328784.2,4694675.4,35.0,1.804,0,,0.451,1.0,0.5,62.6
1594,328034.2,4695925.4,16.0,3.405,2,,0.851,0.333,0.5,62.6
1595,325034.2,4697025.4,70.2,1.808,0,,0.452,1.0,0.5,62.6
1596,326234.2,4695025.4,103.3,1.708,0,44.1,0.427,1.0,0.559,62.5
1597,328034.2,4695125.4,13.6,2.997,1,,0.749,0.5,0.5,62.5
1598,327034.2,4693775.4,10.2,1.795,0,,0.449,1.0,0.5,62.4
1599,328584.2,4694075.4,11.7,1.795,0,,0.449,1.0,0.5,62.4
1600,327534.2,4694575.4,80.8,1.794,0,,0.449,1.0,0.5,62.4
1601,326534.2,4695675.4,43.2,1.789,0,,0.447,1.0,0.5,62.4
1602,326784.2,4695725.4,58.9,2.222,0,77.0,0.556,1.0,0.23,62.4
1603,327534.2,4694525.4,82.3,1.781,0,,0.445,1.0,0.5,62.3
1604,325734.2,4696325.4,51.5,1.786,0,,0.447,1.0,0.5,62.3
1605,325534.2,4696675.4,30.9,1.784,0,,0.446,1.0,0.5,62.3
1606,327734.2,4693975.4,16.2,1.774,0,,0.444,1.0,0.5,62.2
1607,328984.2,4694875.4,18.4,3.375,2,,0.844,0.333,0.5,62.2
1608,327584.2,4694925.4,32.3,3.578,3,,0.895,0.25,0.5,62.2
1609,327434.2,4695025.4,32.8,3.374,2,,0.843,0.333,0.5,62.2
1610,328484.2,4695325.4,10.5,1.776,0,,0.444,1.0,0.5,62.2
1611,328884.2,4693775.4,9.9,1.765,0,,0.441,1.0,0.5,62.1
1612,327284.2,4694075.4,12.1,1.77,0,,0.443,1.0,0.5,62.1
1613,327934.2,4695325.4,13.0,1.769,0,,0.442,1.0,0.5,62.1
1614,325134.2,4695825.4,23.8,1.764,0,,0.441,1.0,0.5,62.1
1615,325634.2,4696175.4,48.7,1.768,0,,0.442,1.0,0.5,62.1
1616,326934.2,4693825.4,13.3,1.763,0,,0.441,1.0,0.5,62.0
1617,326934.2,4694125.4,10.9,1.756,0,,0.439,1.0,0.5,62.0
1618,326584.2,4694175.4,11.4,1.764,0,,0.441,1.0,0.5,62.0
1619,326534.2,4695375.4,46.2,4.0,2,89.8,1.0,0.333,0.102,62.0
1620,327334.2,4695475.4,70.9,2.959,1,,0.74,0.5,0.5,62.0
1621,326684.2,4695875.4,57.5,2.177,0,75.8,0.544,1.0,0.242,62.0
1622,325484.2,4696075.4,30.5,3.358,2,,0.839,0.333,0.5,62.0
1623,325784.2,4696525.4,34.2,1.759,0,,0.44,1.0,0.5,62.0
1624,325834.2,4696575.4,32.3,1.762,0,,0.44,1.0,0.5,62.0
1625,327534.2,4693725.4,8.9,1.756,0,,0.439,1.0,0.5,61.9
1626,327934.2,4694725.4,25.7,1.751,0,,0.438,1.0,0.5,61.9
1627,328984.2,4695025.4,11.0,2.955,1,,0.739,0.5,0.5,61.9
1628,325434.2,4696775.4,43.5,1.752,0,,0.438,1.0,0.5,61.9
1629,328134.2,4696175.4,7.9,3.347,2,,0.837,0.333,0.5,61.8
1630,328584.2,4694575.4,40.6,1.735,0,,0.434,1.0,0.5,61.7
1631,327334.2,4695075.4,34.1,3.987,15,,0.997,0.062,0.5,61.7
1632,326734.2,4695475.4,39.7,3.733,5,,0.933,0.167,0.5,61.7
1633,325784.2,4695925.4,35.0,3.655,4,,0.914,0.2,0.5,61.7
1634,327434.2,4695975.4,57.7,2.933,1,,0.733,0.5,0.5,61.7
1635,326634.2,4694375.4,14.5,1.726,0,,0.432,1.0,0.5,61.6
1636,328734.2,4694675.4,37.1,1.729,0,,0.432,1.0,0.5,61.6
1637,326034.2,4695075.4,66.6,2.081,0,72.3,0.52,1.0,0.277,61.6
1638,325534.2,4695625.4,27.1,1.261,0,21.0,0.315,1.0,0.79,61.6
1639,326634.2,4695625.4,41.7,2.928,1,,0.732,0.5,0.5,61.6
1640,327234.2,4693575.4,10.0,1.724,0,,0.431,1.0,0.5,61.5
1641,327434.2,4693575.4,8.5,1.721,0,,0.43,1.0,0.5,61.5
1642,327484.2,4694575.4,83.6,1.717,0,,0.429,1.0,0.5,61.5
1643,328534.2,4695425.4,7.4,1.716,0,,0.429,1.0,0.5,61.5
1644,326984.2,4694625.4,49.8,2.312,0,87.6,0.578,1.0,0.124,61.4
